1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
2,08/04/1999,John Seifert Architects,Parc (Bridgend) Prison,1,04/01/1996,WS Atkins plc,10,n/a,n/a,n/a,n/a,Construction News 08/04/1999,,
3,01/01/2000,Corrections Corporation of America,HMP Forest Bank Prison,1,01/07/1998,Abbey National,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
4,01/05/2000,Christiani & Neilson,A69 Link Road Carlisle to Newcastle,1,01/12/1995,Henry Boot Construction  ,12.1,n/a,n/a,n/a,n/a,Partnerships UK Database,,
5,01/05/2000,Christiani & Neilson,A69 Link Road Carlisle to Newcastle,1,01/12/1995,Impregilo S.p.A,6.7,n/a,n/a,n/a,n/a,Partnerships UK Database,,
6,01/07/2000,Caisse des Depot et Consignations,M40 Denham to Warwick,1,01/09/1996,"Carillion plc, John Laing and Hyder Investments",12.5,n/a,n/a,n/a,n/a,www.carillionplc.com,,
7,03/11/2000,"Whitehall Street Real Estate, Mychand Ltd & Archon Group","PRIME (Private sector Resource Initiative for Management of the Estate, Department of Work & Pensions)",1,01/12/1997,Land Securities takeover of Trillium,100,n/a,n/a,2.92,n/a,www.landsecurities.com,Telegraph 03/11/2000,
8,01/12/2000,Philipp Holzmann AG,Connect Roads – A50/A564 Stoke-Derby Link ,1,26/05/1996,WS Atkins plc,10,n/a,n/a,n/a,n/a,Partnerships UK Database,,
9,01/12/2000,Philipp Holzmann AG,A30/A35 Exeter to Bere Regis,1,24/07/1996,Balfour Beatty plc,20,n/a,n/a,n/a,n/a,Partnerships UK Database,,
10,01/03/2001,Macquarie Group,"Queen Elizabeth Hospital, Greenwich (via acquisition of Macquarie European Infrastructure Ltd)",1,08/07/1998,John Laing plc ,50,12.8,n/a,2.67,n/a,Laing AR 2001 p55,Construction News 01/03/2001,
11,01/03/2001,Taylor Woodrow Construction,A19 road Dishforth to Tyne Tunnel,1,15/10/1996,Amey Ventures (Amey plc,16.65,n/a,n/a,n/a,n/a,Partnerships UK Database,,
12,01/03/2001,Taylor Woodrow Construction,A19 road Dishforth to Tyne Tunnel,1,15/10/1996,PFI Investors Ltd,16.65,n/a,n/a,n/a,n/a,Partnerships UK Database,,
13,01/06/2001,Edison Capital,"St Georges Hospital, Wimbledon (and investment in Morrison portfolio) ",7,12/03/2000,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,"Dumfries Hospital, NHS Dumfries",,31/05/1999,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,A69 Link Road Carlisle to Newcastle,,01/12/1995,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,Highland wastewater treatment plant,,16/12/1996,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,MoD Lossiemouth Family Quarters,,01/06/1998,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,Perth Council office project ,,01/03/1999,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
13,01/06/2001,Edison Capital,Clarendon College,,n/a,Nobel PFI Fund,Various,n/a,n/a,n/a,n/a,"Edison Capital, First Quarter Report, 2000.","Project Finance International No 220, 27/06/2001",
14,01/06/2001,Western Power Distribution,Hyder Investments plc - A55 road,6,01/12/1998,John Laing plc ,Various stakes,92.5,58.5,2.72,63.3,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
14,01/07/2001,Western Power Distribution,A130 road,,01/09/1999,John Laing plc ,Various stakes,see above,see above,see above,see above,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
14,01/07/2001,Western Power Distribution,M40 road project,,01/09/1996,John Laing plc ,Various stakes,see above,see above,see above,see above,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
14,01/07/2001,Western Power Distribution,Dockland Light Railway,,01/10/1996,John Laing plc ,Various stakes,see above,see above,see above,see above,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
14,01/07/2001,Western Power Distribution,London Underground Connect project,,01/11/1999,John Laing plc ,Various stakes,see above,see above,see above,see above,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
14,01/07/2001,Western Power Distribution,Ministry of Defence headquarters,,05/05/2000,John Laing plc ,Various stakes,see above,see above,see above,see above,"Laing AR 2001 p55 (data includes Nelostie toll road, Finland)","The Second Age of PFI, Collins Stewart, 2004.",
15,01/07/2001,John Laing plc,"A55 road scheme, Wales",1,01/12/1998,Carillion plc ,22.5,3.2,n/a,n/a,n/a,Laing AR 2001 p55,,
16,01/07/2001,John Laing plc,M40 Denham to Warwick,1,01/09/1996,Carillion plc ,22.5,8.9,n/a,n/a,n/a,Laing AR 2001 p55,,
17,01/03/2002,Anglian Water Group,Highland Sewage PFI,1,16/12/1996,International Water Ltd & United Utilities Holdings,16.7,n/a,n/a,n/a,n/a,"Global Water Intelligence, Issue 4, April 2004",,
18,01/05/2002,Lend Lease Corporation,Calderdale Royal Hospital,1,31/07/1998,Quayle Munro Holdings plc,30.1,n/a,9.5,n/a,n/a,Lend Lease Coporation AR 2002 p7,,
19,01/06/2002,Vega Group plc,"Medium Support Helicopter Aircrew Training Facility, Oxfordshire",1,16/10/1997,CAE Electronics (4%) and HSBC (1%),5,n/a,n/a,n/a,n/a,Partnerships UK Database,,
20,21/01/2003,John Laing plc,Ministry of Defence Accommodation Project,1,05/05/2000,Innisfree Ltd,9.9,n/a,n/a,n/a,n/a,Laing Press 21/01/2003,,
21,23/01/2003,Chesterton International plc,"Treasury Building, Great George St, London",1,01/05/2000,Stanhope plc ,7.5,n/a,n/a,2.67,n/a,Partnerships UK Database,,
22,23/01/2003,Chesterton International plc,"Treasury Building, Great George St, London",1,01/05/2000,Lend Lease Corporation,7.5,n/a,n/a,2.67,n/a,Partnerships UK Database,,
23,01/02/2003,Taylor Woodrow Construction,"Defence Animal Centre, Melton Mowbray.",1,18/08/2000,Innisfree Ltd ,7.8,n/a,n/a,n/a,n/a,Partnerships UK Database,,
24,01/02/2003,Taylor Woodrow Construction,"Defence Animal Centre, Melton Mowbray.",1,18/08/2000,Parkwood Holdings ,2.2,n/a,n/a,n/a,n/a,Partnerships UK Database,,
25,26/02/2003,Amey plc,"M6, Scotland ",8,01/04/1997,John Laing plc,19.5,42.9,25.9,3.37,45.2,Amey Press 26/02/2003.,,
25,26/02/2003,Amey plc,A19 road,,15/10/1996,John Laing plc,50,see above,see above,see above,see above,"Laing AR 2003 p24, 32 and 60",,
25,26/02/2003,Amey plc,Birmingham & Solihull Mental Health Foundation Trust (Erdington & Winson Green),,15/08/2000,John Laing plc,n/a,see above,see above,see above,see above,Laing Press 21/01/2003,,
25,26/02/2003,Amey plc,MoD Main Building,,05/05/2000,John Laing plc,n/a,see above,see above,see above,see above,"The Second Age of PFI, Collins Stewart, 2004.",,
25,26/02/2003,Amey plc,British Transport Police London Underground,,26/03/1999,John Laing plc,n/a,see above,see above,see above,see above,"The Second Age of PFI, Collins Stewart, 2004.",,
25,26/02/2003,Amey plc,Glasgow schools-Project 2002 ,,26/07/2000,John Laing plc,25.5,see above,see above,see above,see above,"The Second Age of PFI, Collins Stewart, 2004.",,
25,26/02/2003,Amey plc,Edinburgh schools,,01/11/2001,John Laing plc,30,see above,see above,see above,see above,"The Second Age of PFI, Collins Stewart, 2004.",,
25,26/02/2003,Amey plc,Walsall street lighting,,03/02/2003,John Laing plc,50,see above,see above,see above,see above,"The Second Age of PFI, Collins Stewart, 2004.",,
26,01/03/2003,Deutsche Bank,"Parc Prison, Bridgend",1,04/01/1996,Innisfree Ltd,26.9,n/a,n/a,n/a,n/a,Partnerships UK Database,,
27,01/03/2003,Mowlem Construction,City Greenwich Lewisham Rail Link (Docklands Light Railway),1,01/10/1996,Infrastructure Investors,40,19.4,16,6.42,73.3,"The Second Age of PFI, Collins Stewart, 2004.","Bridgewell Securities, Daily Telegraph 21/05/2007","Project Finance March  2004, Project Finance March  2005"
28,01/03/2003,WS Atkins plc,"Parc Prison, Bridgend",1,04/01/1996,Innisfree Ltd,5.3,n/a,n/a,n/a,n/a,Atkins AR 2003 p9 ,Partnerships UK Database,
29,01/04/2003,Trafalgar House Developments,M1 – A1 Link Road,1,26/03/1996,Macquarie Yorkshire Ltd,50,n/a,n/a,n/a,n/a,Partnerships UK Database,,
30,01/04/2003,John Laing plc,National Physical Laboratory,1,30/07/1998,Serco Group plc,50,0.8,0.4,4.75,21.1,Laing AR 2003 p29,"NAO Termination of PFI contract National Physical Lab, 2006",Partnerships UK Database
31,13/06/2003,Wackenhut Corrections Corporation Inc,Premier Custodial Group: HMP Dovegate Prison,4,09/07/2001,Serco Group plc,50,48.6,35,3.85,66.8,"GEO Group AR 2003 p26, 30 and 60. ",,
31,13/06/2003,Wackenhut Corrections Corporation Inc,HMP Ashfield Prison,,11/11/1999,Serco Group plc,see above,see above,see above,see above,see above,Wackenhut Press 13/6/2003,,
31,13/06/2003,Wackenhut Corrections Corporation Inc,HMP Lowdham Grange Prison,,16/02/1998,Serco Group plc,see above,see above,see above,see above,see above,Serco Press 3/07/2003,,
