2,Sunningdale Park Site,CABINET OFFICE (GROUP),CABINET OFFICE,Other,Windsor,ENGLAND_South East,InOperation,1998-04-17,2002-03-01,2002-04-01,2007-04-01,2002-05-13,15,OFF,OFF,OFF,6.7,0,0,0,0,0,0,0,0,0,0,4,3.8,3.6,3,2.5,2.3,2.3,2,2.3,2.4,2.2,1,2.2,2.2,2.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,De Vere Venues Ltd,100,,0,,0,,0,,0,,0,DeVere Venues Ltd,Data not supplied,DeVere Venues Ltd
3,Compass,CROWN PROSECUTION SERVICE (GROUP),THE CROWN PROSECUTION SERVICE,IT Infrastructure and communications,More than one,National/More than one region,InOperation,2000-10-06,Data not provided,2002-04-01,2012-03-31,2012-03-31,14,ON,OFF,OFF,18.2,0,0,0,0,0,0,0,0,0,0,13.9,20.8,31.3,32.8,34.4,37.3,39,39.6,37.6,29.2,23.2,21.6,20.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data not supplied,100,,0,,0,,0,,0,,0,Data not supplied,Data not supplied,Data not supplied
5,RRS Ernest Shackleton,DEPT FOR BUSINESS INNOVATION AND SKILLS (GROUP),NATURAL ENVIRONMENT RESEARCH COUNCIL,Other,North Swindon,National/More than one region,InOperation,1997-12-01,Data not provided,1999-08-01,1999-11-30,1999-10-01,21,ON,Data not provided,ON,21.8,0,0,0,0,0,0,0,2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,1.6,1.6,1.6,1.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Polar Holding ASA of Norway,100,,0,,0,,0,,0,,0,RRS Ernest Shackleton,Data not supplied,Data not supplied
7,Barking & Dagenham - Two Schools Project Jo RichardsOn Community School and Eastbury Comprehensive School),DEPARTMENT FOR EDUCATION (GROUP),Barking and Dagenham,Schools (Non-BSF),Barking,ENGLAND_London,InOperation,2002-05-23,Data not provided,2004-03-30,Data not provided,Data not provided,25,Data not provided,Data not provided,Data not provided,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,5.5,5.7,5.7,5.8,5.8,5.9,5.9,6,6.1,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.9,7,7,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barclay’s European Infrastructure Limited (“BEIL”),0.9,Barking & Dagenham Schools Ltd,0.2,,0,,0,,0,,0,Data not supplied,Data not supplied,Data not supplied
8,Barnsley Schools PFI,DEPARTMENT FOR EDUCATION (GROUP),Barnsley,Schools (Non-BSF),Data not provided,ENGLAND_Yorkshire and the Humber,InOperation,2003-05-01,Data not provided,2005-06-27,Data not provided,Data not provided,26,Data not provided,Data not provided,Data not provided,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,6.6,6.6,7.1,7.3,7.3,7.2,7.1,7,7.2,7.2,7.2,7.1,6.9,7,7.3,7.3,7.1,7.1,7.3,7.6,7.8,7.8,7.7,7.1,6.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CarilliOn,0.5,Innisfree PFI Fund III,0.5,,0,,0,,0,,0,Modern Schools Barnsley,5259225,"8 White Oak, Square Swanley, Kent, BR8 7AG"
9,Mid-Bedfordshire Upper Schools Project,DEPARTMENT FOR EDUCATION (GROUP),Central Bedfordshire,Schools (Non-BSF),Mid Bedfordshire,ENGLAND_East,InOperation,2001-09-01,Data not provided,2003-12-22,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,24.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.9,0.9,3.4,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bilfinger Berger BOT UK Limited,1,,0,,0,,0,,0,,0,Data not supplied,Data not supplied,Data not supplied
10,Birmingham Group Schools 1,DEPARTMENT FOR EDUCATION (GROUP),Birmingham,Schools (Non-BSF),Data not provided,ENGLAND_West Midlands,InOperation,1997-04-04,Data not provided,2000-02-01,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,40.7,0,0,0,0,0,0,0,0,0,2.4,7.1,7.4,7.7,7.9,8.2,8.4,8.4,8.6,8.9,9.1,9.3,9.5,9.8,10,10.3,10.5,10.8,11.1,11.3,11.6,11.9,12.2,12.5,12.8,13.2,13.5,13.8,14.2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innisfree,1,,0,,0,,0,,0,,0,Birmingham School Partnership Ltd,Data not supplied,Data not supplied
11,Birmingham Group Schools 2,DEPARTMENT FOR EDUCATION (GROUP),Birmingham,Schools (Non-BSF),More than one,ENGLAND_West Midlands,InOperation,2003-07-07,Data not provided,2006-03-01,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,4.6,8.1,9,9.2,9.3,9.4,9.5,9.6,9.9,10.1,10.4,10.7,11,11.2,11.5,11.8,12.1,12.5,12.8,12.9,13.1,13.2,13.4,13.6,13.7,13.9,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innisfree,0.5,Balfour Beatty Capital,0.5,,0,,0,,0,,0,Transform Schools,Data not supplied,Data not supplied
12,Castle Hill Primary School,DEPARTMENT FOR EDUCATION (GROUP),Bolton,Schools (Non-BSF),Bolton North East,ENGLAND_North West,InOperation,1998-03-26,Data not provided,2001-07-31,Data not provided,2003-09-29,26,Data not provided,Data not provided,Data not provided,10.7,0,0,0,0,0,0,0,0,0,0,0,0.7,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CH BoltOn Ltd,1,,0,,0,,0,,0,,0,CH BoltOn Ltd.,4341625,Data not supplied
13,Hadley Learning Centre and Jigsaw Project PFI,DEPARTMENT FOR EDUCATION (GROUP),Telford and Wrekin,Schools (Non-BSF),The Wrekin,ENGLAND_West Midlands,InOperation,2003-06-16,Data not provided,2005-06-27,Data not provided,Data not provided,28,Data not provided,Data not provided,Data not provided,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,9.1,9.2,9.3,9.4,9.7,9.6,9.7,9.9,10,10.1,10.3,10.4,10.5,10.7,10.8,10.9,11.1,11.2,11.4,11.5,11.6,11.8,11.8,11.4,11.6,11.7,11.8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uberior Infrastructure Investments Limited,0.5,Interserve PFI 2003 Ltd,0.5,,0,,0,,0,,0,Pyramid Schools (Hadley) Ltd,5232548,"Interserve House, Ruscombe Park, Twyford, Reading, Berkshire"
