Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
2,Sunningdale Park Site,CABINET OFFICE (GROUP),CABINET OFFICE,Other,Windsor,ENGLAND_South East,InOperation,1998-04-17,2002-03-01,2002-04-01,2007-04-01,2002-05-13,15,OFF,OFF,OFF,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.8,3.6,3.0,2.5,2.3,2.3,2.0,2.3,2.4,2.2,2.2,2.2,2.2,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,De Vere Venues Ltd,100.0%,NO,,,,,,,,,,,,,,,,DeVere Venues Ltd,not known,DeVere Venues Ltd
3,Compass,CROWN PROSECUTION SERVICE (GROUP),THE CROWN PROSECUTION SERVICE,IT Infrastructure and communications,More than one,National/More than one region,InOperation,2000-10-06,N/K,2002-04-01,2013-03-13,2001-12-31,13,ON,OFF,OFF,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,20.8,31.3,32.8,34.4,37.3,39.0,39.6,37.6,29.2,23.2,21.6,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data not supplied,100.0%,NO,,,,,,,,,,,,,,,,N/A,N/A,N/A
5,RRS Ernest Shackleton ,DEPT FOR BUSINESS INNOVATION AND SKILLS (GROUP),NATURAL ENVIRONMENT RESEARCH COUNCIL,Other,More than one,National/More than one region,InOperation,1997-12-01,N/K,1999-08-01,Data not supplied by Department,Data not supplied by Department,21,ON,N/K,ON,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,1.8,1.6,1.6,1.6,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polar Holding ASA of Norway,100.0%,NO,,,,,,,,,,,,,,,,RRS Ernest Shackleton,N/K,N/K
7,Barking and Dagenham PFI Projects - Grouped Schools,DEPARTMENT FOR EDUCATION (GROUP),Barking and Dagenham,Schools (Non-BSF),Barking,ENGLAND_London,InOperation,2002-05-23,N/K,2004-03-30,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,N/K,OFF,47.3,,,,,,,,,,,,,,3.2,5.5,5.7,5.7,5.8,5.8,5.9,5.9,6.0,6.1,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.9,7.0,7.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barclay’s European Infrastructure Limited (“BEIL”),85.0%,NO,Barking & Dagenham Schools Ltd,15.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
8,Barnsley Schools PFI,DEPARTMENT FOR EDUCATION (GROUP),Barnsley,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2003-05-01,N/K,2005-06-27,Data not supplied by Procuring Authority,2006-06-17,26,ON,N/K,OFF,47.0,,,,,,,,,,,,,,,2.2,6.6,7.2,7.1,7.2,7.3,7.4,7.3,7.2,7.4,7.5,7.5,7.3,7.1,7.4,7.7,7.6,7.4,7.4,7.7,8.0,8.3,8.2,8.1,7.5,7.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carillion,50.0%,NO,Innisfree PFI Fund III,100.0%,NO,,,,,,,,,,,,,Modern Schools Barnsley,5259225,"8 White Oak, Square Swanley, Kent, BR8 7AG"
9,Mid Beds Upper Schools Project,DEPARTMENT FOR EDUCATION (GROUP),Central Bedfordshire,Schools (Non-BSF),Mid Bedfordshire,ENGLAND_East,InOperation,2001-09-01,N/K,2003-12-22,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,33,ON,N/K,OFF,24.2,,,,,,,,,,,,0.2,0.9,0.9,3.4,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4.0,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,,Bilfinger Berger BOT UK Limited,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
10,Birmingham Group Schools 1,DEPARTMENT FOR EDUCATION (GROUP),Birmingham,Schools (Non-BSF),More than one,ENGLAND_West Midlands,InOperation,1997-04-04,N/K,2000-02-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,30,ON,N/K,OFF,40.7,,,,,,,,,,2.4,7.1,7.4,7.7,7.9,8.2,8.4,8.4,8.6,8.9,9.1,9.3,9.5,9.8,10.0,10.3,10.5,10.8,11.1,11.3,11.6,11.9,12.2,12.5,12.8,13.2,13.5,13.8,14.2,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innisfree,100.0%,NO,,,,,,,,,,,,,,,,Birmingham School Partnership Ltd,N/K,N/K
11,Birmingham PPP 2,DEPARTMENT FOR EDUCATION (GROUP),Birmingham,Schools (Non-BSF),More than one,ENGLAND_West Midlands,InOperation,2003-07-07,N/K,2006-03-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,28,ON,N/K,OFF,71.9,,,,,,,,,,,,,,,0.7,4.6,8.1,9.0,9.2,9.3,9.4,9.5,9.6,9.9,10.1,10.4,10.7,11.0,11.2,11.5,11.8,12.1,12.5,12.8,12.9,13.1,13.2,13.4,13.6,13.7,13.9,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Innisfree PFI,100.0%,NO,,,,,,,,,,,,,,,,Transform Schools,N/K,N/K
12,Castle Hill Community Learning Centre & Primary School,DEPARTMENT FOR EDUCATION (GROUP),Bolton,Schools (Non-BSF),Bolton North East,ENGLAND_North West,InOperation,1998-03-26,N/K,2001-07-31,2003-09-28,2003-09-29,25,ON,OFF,OFF,10.7,,,,,,,,,,,,0.7,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH Bolton Ltd,100.0%,NO,,,,,,,,,,,,,,,,CH Bolton Ltd.,4341625,"c/o Quayle Munro Ltd. 8 Charlotte Square, Edinburgh, EH2 4DR"
13,Hadley Learning & Jigsaw Project,DEPARTMENT FOR EDUCATION (GROUP),Telford and Wrekin,Schools (Non-BSF),"Wrekin, The",ENGLAND_West Midlands,InOperation,2003-06-16,N/K,2005-06-27,2006-12-01,2006-04-01,29,ON,N/K,OFF,70.0,,,,,,,,,,,,,,,3.7,9.1,9.2,9.3,9.4,9.4,9.1,9.3,9.4,9.4,9.5,9.6,9.7,9.8,9.8,9.9,10.0,10.1,10.2,10.2,10.3,10.4,10.5,10.4,10.1,10.2,10.2,10.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,Uberior Infrastructure Investments Limited,50.0%,NO,Interserve PFI 2003 Ltd,50.0%,NO,,,,,,,,,,,,,Pyramid Schools (Hadley) Ltd,5232548,"Interserve House, Ruscombe Park, Twyford, Reading, Berkshire"
